Country_ID,Country
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bangladesh
13,Barbados
14,Belarus
15,Belgium
16,Belgium-Luxembourg
17,Belize
18,Benin
19,Bermuda
20,Bolivia (Plurinational State of)
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei Darussalam
25,Bulgaria
26,Burkina Faso
27,Cabo Verde
28,Cambodia
29,Cameroon
30,Canada
31,Central African Republic
32,Chad
33,Chile
34,"China, Hong Kong SAR"
35,"China, Macao SAR"
36,"China, mainland"
37,"China, Taiwan Province of"
38,Colombia
39,Congo
40,Costa Rica
41,C̫te d'Ivoire
42,Croatia
43,Cuba
44,Cyprus
45,Czechia
46,Czechoslovakia
47,Democratic People's Republic of Korea
48,Denmark
49,Djibouti
50,Dominica
51,Dominican Republic
52,Ecuador
53,Egypt
54,El Salvador
55,Estonia
56,Ethiopia
57,Ethiopia PDR
58,Fiji
59,Finland
60,France
61,French Polynesia
62,Gabon
63,Gambia
64,Georgia
65,Germany
66,Ghana
67,Greece
68,Grenada
69,Guatemala
70,Guinea
71,Guinea-Bissau
72,Guyana
73,Haiti
74,Honduras
75,Hungary
76,Iceland
77,India
78,Indonesia
79,Iran (Islamic Republic of)
80,Iraq
81,Ireland
82,Israel
83,Italy
84,Jamaica
85,Japan
86,Jordan
87,Kazakhstan
88,Kenya
89,Kiribati
90,Kuwait
91,Kyrgyzstan
92,Lao People's Democratic Republic
93,Latvia
94,Lebanon
95,Lesotho
96,Liberia
97,Lithuania
98,Luxembourg
99,Madagascar
100,Malawi
101,Malaysia
102,Maldives
103,Mali
104,Malta
105,Mauritania
106,Mauritius
107,Mexico
108,Mongolia
109,Montenegro
110,Morocco
111,Mozambique
112,Myanmar
113,Namibia
114,Nepal
115,Netherlands
116,Netherlands Antilles (former)
117,New Caledonia
118,New Zealand
119,Nicaragua
120,Niger
121,Nigeria
122,Norway
123,Oman
124,Pakistan
125,Panama
126,Paraguay
127,Peru
128,Philippines
129,Poland
130,Portugal
131,Republic of Korea
132,Republic of Moldova
133,Romania
134,Russian Federation
135,Rwanda
136,Saint Kitts and Nevis
137,Saint Lucia
138,Saint Vincent and the Grenadines
139,Samoa
140,Sao Tome and Principe
141,Saudi Arabia
142,Senegal
143,Serbia
144,Serbia and Montenegro
145,Sierra Leone
146,Slovakia
147,Slovenia
148,Solomon Islands
149,South Africa
150,Spain
151,Sri Lanka
152,Sudan
153,Sudan (former)
154,Suriname
155,Swaziland
156,Sweden
157,Switzerland
158,Tajikistan
159,Thailand
160,The former Yugoslav Republic of Macedonia
161,Timor-Leste
162,Togo
163,Trinidad and Tobago
164,Tunisia
165,Turkey
166,Turkmenistan
167,Uganda
168,Ukraine
169,United Arab Emirates
170,United Kingdom
171,United Republic of Tanzania
172,United States of America
173,Uruguay
174,USSR
175,Uzbekistan
176,Vanuatu
177,Venezuela (Bolivarian Republic of)
178,Viet Nam
179,Yemen
180,Yugoslav SFR
181,Zambia
182,Zimbabwe
183,China
