Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1961","1961","1000 persons","8954","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1962","1962","1000 persons","9142","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1963","1963","1000 persons","9340","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1964","1964","1000 persons","9547","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1965","1965","1000 persons","9765","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1966","1966","1000 persons","9990","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1967","1967","1000 persons","10222","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1968","1968","1000 persons","10466","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1969","1969","1000 persons","10729","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1970","1970","1000 persons","11016","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1971","1971","1000 persons","11323","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1972","1972","1000 persons","11644","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1973","1973","1000 persons","11966","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","1974","1974","1000 persons","12274","","Official data"
