U_ID,Country,,Year,Undernourishment_Percent
1,Afghanistan,1,2010,24.7
2,Afghanistan,1,2011,24.3
3,Afghanistan,1,2012,24.4
4,Afghanistan,1,2013,25.1
5,Algeria,3,2010,5.1
6,Algeria,3,2011,5
7,Algeria,3,2012,5
8,Algeria,3,2013,5
9,Angola,4,2010,20.7
10,Angola,4,2011,18.9
11,Angola,4,2012,17.5
12,Angola,4,2013,16.5
13,Arab World,#N/A,2010,9.295102041
14,Arab World,#N/A,2011,9.134182504
15,Arab World,#N/A,2012,9.015908069
16,Arab World,#N/A,2013,8.963210737
17,Argentina,6,2010,5
18,Argentina,6,2011,5
19,Argentina,6,2012,5
20,Argentina,6,2013,5
21,Armenia,7,2010,6.5
22,Armenia,7,2011,6.8
23,Armenia,7,2012,6.8
24,Armenia,7,2013,6.7
25,Azerbaijan,10,2010,5
26,Azerbaijan,10,2011,5
27,Azerbaijan,10,2012,5
28,Azerbaijan,10,2013,5
29,Bangladesh,12,2010,17.2
30,Bangladesh,12,2011,17.3
31,Bangladesh,12,2012,17.3
32,Bangladesh,12,2013,17.2
33,Barbados,13,2010,5
34,Barbados,13,2011,5
35,Barbados,13,2012,5
36,Barbados,13,2013,5
37,Belize,17,2010,5.7
38,Belize,17,2011,5.7
39,Belize,17,2012,5.9
40,Belize,17,2013,6.2
41,Benin,18,2010,12.1
42,Benin,18,2011,11.9
43,Benin,18,2012,10.8
44,Benin,18,2013,9.4
45,Bolivia,20,2010,27
46,Bolivia,20,2011,24.5
47,Bolivia,20,2012,21.1
48,Bolivia,20,2013,18.3
49,Botswana,22,2010,30.4
50,Botswana,22,2011,28.7
51,Botswana,22,2012,27
52,Botswana,22,2013,25.8
53,Brazil,23,2010,5
54,Brazil,23,2011,5
55,Brazil,23,2012,5
56,Brazil,23,2013,5
57,Brunei,24,2010,5
58,Brunei,24,2011,5
59,Brunei,24,2012,5
60,Brunei,24,2013,5
61,Burkina Faso,26,2010,22.5
62,Burkina Faso,26,2011,21.7
63,Burkina Faso,26,2012,21.2
64,Burkina Faso,26,2013,20.8
65,Cambodia,28,2010,17
66,Cambodia,28,2011,16.8
67,Cambodia,28,2012,16.4
68,Cambodia,28,2013,15.7
69,Cameroon,29,2010,13.4
70,Cameroon,29,2011,11.9
71,Cameroon,29,2012,10.8
72,Cameroon,29,2013,10.4
73,Cape Verde,#N/A,2010,12.6
74,Cape Verde,#N/A,2011,12.1
75,Cape Verde,#N/A,2012,11.4
76,Cape Verde,#N/A,2013,10.6
77,Caribbean small states,#N/A,2010,8.82492474
78,Caribbean small states,#N/A,2011,8.749032073
79,Caribbean small states,#N/A,2012,8.693367
80,Caribbean small states,#N/A,2013,8.712336953
81,Central African Republic,31,2010,34.1
82,Central African Republic,31,2011,33.7
83,Central African Republic,31,2012,35.3
84,Central African Republic,31,2013,39.4
85,Chad,32,2010,41
86,Chad,32,2011,40.1
87,Chad,32,2012,39
88,Chad,32,2013,37.5
89,Chile,33,2010,5
90,Chile,33,2011,5
91,Chile,33,2012,5
92,Chile,33,2013,5
93,China,183,2010,12.5
94,China,183,2011,11.7
95,China,183,2012,11
96,China,183,2013,10.4
97,Colombia,38,2010,10.7
98,Colombia,38,2011,11.2
99,Colombia,38,2012,11.1
100,Colombia,38,2013,10.3
101,Congo,39,2010,31.5
102,Congo,39,2011,29.9
103,Congo,39,2012,28.3
104,Congo,39,2013,28
105,Costa Rica,40,2010,5.3
106,Costa Rica,40,2011,5.3
107,Costa Rica,40,2012,5.4
108,Costa Rica,40,2013,5.7
109,Cote d'Ivoire,#N/A,2010,14.7
110,Cote d'Ivoire,#N/A,2011,14.5
111,Cote d'Ivoire,#N/A,2012,14.1
112,Cote d'Ivoire,#N/A,2013,13.7
113,Cuba,43,2010,5
114,Cuba,43,2011,5
115,Cuba,43,2012,5
116,Cuba,43,2013,5
117,Djibouti,49,2010,23.1
118,Djibouti,49,2011,22
119,Djibouti,49,2012,20.5
120,Djibouti,49,2013,18.9
121,Dominican Republic,51,2010,18.1
122,Dominican Republic,51,2011,15.9
123,Dominican Republic,51,2012,14
124,Dominican Republic,51,2013,13
125,Early-demographic dividend,#N/A,2010,14.88189899
126,Early-demographic dividend,#N/A,2011,14.47532769
127,Early-demographic dividend,#N/A,2012,14.11742641
128,Early-demographic dividend,#N/A,2013,13.93386185
129,East Asia & Pacific,#N/A,2010,12.97097318
130,East Asia & Pacific,#N/A,2011,12.05332282
131,East Asia & Pacific,#N/A,2012,11.30910033
132,East Asia & Pacific,#N/A,2013,10.71459582
133,East Asia & Pacific (IDA & IBRD),#N/A,2010,12.81012745
134,East Asia & Pacific (IDA & IBRD),#N/A,2011,11.85534066
135,East Asia & Pacific (IDA & IBRD),#N/A,2012,11.08410934
136,East Asia & Pacific (IDA & IBRD),#N/A,2013,10.46835844
137,East Asia & Pacific (excluding high income),#N/A,2010,13.17436729
138,East Asia & Pacific (excluding high income),#N/A,2011,12.23342248
139,East Asia & Pacific (excluding high income),#N/A,2012,11.46990602
140,East Asia & Pacific (excluding high income),#N/A,2013,10.85988153
141,Ecuador,52,2010,14.4
142,Ecuador,52,2011,12.8
143,Ecuador,52,2012,11.8
144,Ecuador,52,2013,11.4
145,Egypt,53,2010,5
146,Egypt,53,2011,5
147,Egypt,53,2012,5
148,Egypt,53,2013,5
149,El Salvador,54,2010,12
150,El Salvador,54,2011,12.6
151,El Salvador,54,2012,12.9
152,El Salvador,54,2013,12.8
153,Ethiopia,56,2010,37.6
154,Ethiopia,56,2011,36
155,Ethiopia,56,2012,34.9
156,Ethiopia,56,2013,33.9
157,Fiji,58,2010,5
158,Fiji,58,2011,5
159,Fiji,58,2012,5
160,Fiji,58,2013,5
161,Gabon,62,2010,5
162,Gabon,62,2011,5
163,Gabon,62,2012,5
164,Gabon,62,2013,5
165,Gambia,63,2010,8.8
166,Gambia,63,2011,7.1
167,Gambia,63,2012,6.1
168,Gambia,63,2013,5.6
169,Georgia,64,2010,9
170,Georgia,64,2011,10.1
171,Georgia,64,2012,10.1
172,Georgia,64,2013,9.1
173,Ghana,66,2010,6.5
174,Ghana,66,2011,5.6
175,Ghana,66,2012,5
176,Ghana,66,2013,5
177,Guatemala,69,2010,14.8
178,Guatemala,69,2011,14.8
179,Guatemala,69,2012,14.8
180,Guatemala,69,2013,15.3
181,Guinea,70,2010,18.3
182,Guinea,70,2011,17.8
183,Guinea,70,2012,17.5
184,Guinea,70,2013,17.1
185,Guinea-Bissau,71,2010,23
186,Guinea-Bissau,71,2011,22.4
187,Guinea-Bissau,71,2012,22.4
188,Guinea-Bissau,71,2013,22.6
189,Guyana,72,2010,11.9
190,Guyana,72,2011,11.8
191,Guyana,72,2012,11.6
192,Guyana,72,2013,11.5
193,Haiti,73,2010,50.6
194,Haiti,73,2011,49.3
195,Haiti,73,2012,49.3
196,Haiti,73,2013,50.7
197,Heavily indebted poor countries (HIPC),#N/A,2010,26.68579003
198,Heavily indebted poor countries (HIPC),#N/A,2011,25.81049332
199,Heavily indebted poor countries (HIPC),#N/A,2012,25.05975551
200,Heavily indebted poor countries (HIPC),#N/A,2013,24.56564632
201,Honduras,74,2010,14.9
202,Honduras,74,2011,14.6
203,Honduras,74,2012,13.7
204,Honduras,74,2013,12.8
205,IBRD only,#N/A,2010,12.27181913
206,IBRD only,#N/A,2011,11.78227011
207,IBRD only,#N/A,2012,11.33819998
208,IBRD only,#N/A,2013,11.02879979
209,IDA & IBRD total,#N/A,2010,14.19991505
210,IDA & IBRD total,#N/A,2011,13.72370941
211,IDA & IBRD total,#N/A,2012,13.30296849
212,IDA & IBRD total,#N/A,2013,13.02137809
213,IDA blend,#N/A,2010,15.71357811
214,IDA blend,#N/A,2011,15.49196811
215,IDA blend,#N/A,2012,15.30556754
216,IDA blend,#N/A,2013,15.24837866
217,IDA only,#N/A,2010,23.78694086
218,IDA only,#N/A,2011,23.11348056
219,IDA only,#N/A,2012,22.55803279
220,IDA only,#N/A,2013,22.1676186
221,IDA total,#N/A,2010,20.82327086
